
NOTICE: Existing SQLite export found: profiles/gan_profile.sqlite
        It is assumed file was previously exported from: profiles/gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_gpu_sum.py]... 

 ** CUDA Summary (API/Kernels/MemOps) (cuda_api_gpu_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)    Category                                                 Operation                                              
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  ------------  -----------  ----------------------------------------------------------------------------------------------------
     23.4    8,084,644,324      6,995   1,155,774.7       9,910.0       3,450  48,773,331   4,315,746.5  CUDA_API     cudaDeviceSynchronize                                                                               
     14.7    5,072,980,571    297,302      17,063.4      17,184.0      14,303      21,120         656.0  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
     10.0    3,454,880,447     19,407     178,022.4      94,335.0       1,664   5,879,360     376,824.1  CUDA_KERNEL  triton_convolution2d                                                                                
      5.1    1,776,185,723    304,676       5,829.8       5,310.0         590  12,308,606      51,007.4  CUDA_API     cudaLaunchKernel                                                                                    
      4.9    1,703,299,625     11,565     147,280.6      12,190.0       3,660  91,248,967   2,855,508.2  CUDA_API     cudaMemcpyAsync                                                                                     
      4.4    1,521,427,119        242   6,286,888.9       6,608.0         704  91,237,968  18,721,399.9  MEMORY_OPER  [CUDA memcpy Host-to-Device]                                                                        
      2.9    1,017,287,932    144,580       7,036.2       6,371.0         530     351,756       4,221.3  CUDA_API     cuLaunchKernel                                                                                      
      2.5      870,631,326    291,009       2,991.8       2,650.0       1,280  14,158,472      28,620.9  CUDA_API     cudaEventRecordWithFlags_v11010                                                                     
      1.8      633,641,208    290,998       2,177.5       2,050.0         430     249,892       2,023.7  CUDA_API     cudaEventQuery                                                                                      
      1.6      561,395,319      1,142     491,589.6     378,014.0     332,766   5,964,895     570,284.1  CUDA_KERNEL  triton_poi_fused__to_copy_convolution_leaky_relu_leaky_relu_backward_pixel_shuffle_86               
      1.6      540,191,215        180   3,001,062.3       7,955.5       1,940  60,258,138  13,051,886.9  CUDA_API     cudaStreamSynchronize                                                                               
      1.3      465,489,869    291,029       1,599.5       1,360.0         240     525,114       3,310.4  CUDA_API     cudaEventCreateWithFlags                                                                            
      1.2      429,015,308        777     552,143.3     320,607.0     268,062   3,697,485     626,154.3  CUDA_KERNEL  triton_red_fused_leaky_relu_mul_sum_88                                                              
      1.2      399,012,702      1,292     308,833.4     275,966.5     261,502     862,172     114,033.5  CUDA_KERNEL  triton_red_fused_leaky_relu_leaky_relu_backward_mul_sum_87                                          
      1.0      355,437,487     11,275      31,524.4      10,720.0       1,280     799,612      65,509.4  MEMORY_OPER  [CUDA memcpy Device-to-Device]                                                                      
      1.0      341,636,561        732     466,716.6     155,871.0     129,503   9,829,070   1,547,329.8  CUDA_KERNEL  triton_red_fused_convolution_backward_85                                                            
      0.8      282,744,282        767     368,636.6     263,551.0     252,478   1,745,495     340,046.3  CUDA_KERNEL  triton_red_fused_convolution_backward_5                                                             
      0.8      280,486,225        766     366,170.0     263,246.5     251,870   1,694,295     331,912.3  CUDA_KERNEL  triton_red_fused_convolution_backward_10                                                            
      0.7      229,729,651      1,591     144,393.2     140,127.0     117,312     230,943      26,852.0  CUDA_KERNEL  triton_poi_fused_leaky_relu_backward_23                                                             
      0.6      222,964,350        112   1,990,753.1   1,774,182.5   1,765,527   2,739,090     321,703.9  CUDA_KERNEL  triton_poi_fused__to_copy_cat_87                                                                    
