
NOTICE: Existing SQLite export found: profiles/gan_profile.sqlite
        It is assumed file was previously exported from: profiles/gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)                         Name                      
 --------  ---------------  ---------  ------------  ------------  ----------  -----------  ------------  ------------------------------------------------
     67.3   18,605,901,944      3,441   5,407,120.6      12,131.0       2,950  346,938,709  34,431,530.5  cudaMemcpyAsync                                 
     18.6    5,140,254,520      1,168   4,400,902.8       2,190.0       1,240  123,211,826  22,758,398.2  cudaStreamSynchronize                           
      9.2    2,543,151,866      1,056   2,408,287.8      10,870.5       5,980   82,723,939   6,701,704.6  cudaDeviceSynchronize                           
      1.8      509,905,128     43,926      11,608.3       5,140.0         649   29,095,008     283,055.3  cudaLaunchKernel                                
      0.5      150,244,040     19,623       7,656.5       6,390.0         510    2,544,495      32,890.2  cuLaunchKernel                                  
      0.4      114,637,404     37,489       3,057.9       2,520.0       1,360    2,153,870      18,500.1  cudaEventRecordWithFlags_v11010                 
      0.4      102,888,378        390     263,816.4      66,666.0      57,990   28,106,964   1,932,213.1  cuModuleLoad                                    
      0.3       90,529,612         94     963,081.0     275,328.5      11,311   27,131,740   3,427,377.6  cudaMalloc                                      
      0.3       82,001,816     37,478       2,188.0       1,940.0         380    1,351,349       7,364.8  cudaEventQuery                                  
      0.2       64,971,199          1  64,971,199.0  64,971,199.0  64,971,199   64,971,199           0.0  cudaProfilerStop                                
      0.2       52,841,205     37,491       1,409.4       1,260.0         750       33,591       1,200.7  cudaEventCreateWithFlags                        
      0.2       48,920,137         33   1,482,428.4     765,641.0      17,631    4,909,919   1,711,336.6  cuLibraryLoadData                               
      0.1       20,594,843         86     239,474.9     216,608.5     139,422      454,266      90,878.3  cudaGraphLaunch_v10000                          
      0.1       20,237,486     38,262         528.9         470.0         249       29,310         744.1  cudaStreamIsCapturing_v10000                    
      0.1       19,751,762         45     438,928.0      37,020.0      17,500    7,431,444   1,241,184.1  cuLibraryUnload                                 
      0.1       16,266,646     37,489         433.9         340.0         300      590,738       4,616.1  cudaEventDestroy                                
      0.0       12,145,079          6   2,024,179.8   2,017,858.0   1,906,777    2,204,431     112,788.6  cudaGetDeviceProperties_v2_v12000               
      0.0       10,226,623         17     601,566.1     456,216.0       1,820    1,575,722     501,190.6  cudaFree                                        
      0.0       10,065,491          3   3,355,163.7   3,423,018.0     362,325    6,280,148   2,959,495.0  cudaGraphInstantiateWithFlags_v11040            
      0.0        9,650,732         22     438,669.6       2,635.0         740    5,242,043   1,230,477.1  cuKernelGetFunction                             
