
NOTICE: Existing SQLite export found: gan_profile.sqlite
        It is assumed file was previously exported from: gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_gpu_sum.py]... 

 ** CUDA Summary (API/Kernels/MemOps) (cuda_api_gpu_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)    Category                                                 Operation                                              
 --------  ---------------  ---------  ------------  ------------  ----------  -----------  ------------  -----------  ----------------------------------------------------------------------------------------------------
     27.9    5,549,673,568      1,730   3,207,903.8      12,391.0       3,390  332,680,693  26,728,289.9  CUDA_API     cudaMemcpyAsync                                                                                     
     27.8    5,516,489,072        228  24,195,127.5      21,904.0         704  332,556,176  70,187,589.9  MEMORY_OPER  [CUDA memcpy Host-to-Device]                                                                        
     14.6    2,905,155,378        811   3,582,189.1      10,711.0       6,321   72,793,866   7,701,133.7  CUDA_API     cudaDeviceSynchronize                                                                               
      4.7      939,817,098        156   6,024,468.6       8,040.5       2,390  105,578,718  24,359,486.8  CUDA_API     cudaStreamSynchronize                                                                               
      3.7      732,029,609        720   1,016,707.8     835,789.0     783,261    5,217,485     693,385.8  CUDA_KERNEL  triton_red_fused_leaky_relu_leaky_relu_backward_mul_sum_58                                          
      2.6      511,273,127     29,995      17,045.3      17,248.0      15,136       19,392         784.1  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      2.1      407,944,203     31,279      13,042.1       4,540.0         680   25,400,861     317,357.0  CUDA_API     cudaLaunchKernel                                                                                    
      1.7      341,848,628         81   4,220,353.4   4,096,145.0   3,726,865    5,383,500     485,505.1  CUDA_KERNEL  triton_poi_fused_cat_convolution_47                                                                 
      1.0      195,069,131        366     532,975.8     532,366.0     506,334      543,614       4,554.4  CUDA_KERNEL  triton_red_fused_convolution_backward_7                                                             
      0.9      188,328,559      1,454     129,524.5       2,048.0       1,216    1,065,756     235,072.9  MEMORY_OPER  [CUDA memcpy Device-to-Device]                                                                      
      0.9      185,175,699        616     300,609.9     284,671.0     257,119      371,391      32,635.5  CUDA_KERNEL  triton_red_fused_convolution_backward_62                                                            
      0.9      183,743,809        656     280,097.3     277,327.0     262,527      293,118       5,413.2  CUDA_KERNEL  triton_red_fused_convolution_backward_10                                                            
      0.8      155,093,778        143   1,084,571.9   1,064,253.0   1,049,244    1,136,892      31,962.0  CUDA_KERNEL  triton_poi_fused_leaky_relu_backward_61                                                             
      0.7      143,104,300        221     647,530.8     646,526.0     639,038      653,885       3,003.6  CUDA_KERNEL  triton_poi_fused_leaky_relu_leaky_relu_backward_46                                                  
      0.7      135,549,133        383     353,914.2     329,726.0     320,862      448,158      39,049.2  CUDA_KERNEL  triton_poi_fused_convolution_leaky_relu_leaky_relu_backward_15                                      
      0.7      135,328,185        335     403,964.7     403,359.0     391,006      415,231       6,098.5  CUDA_KERNEL  triton_poi_fused_pixel_unshuffle_0                                                                  
      0.7      130,750,877        470     278,193.4     278,175.0     271,359      282,271       2,302.2  CUDA_KERNEL  triton_poi_fused_cat_41                                                                             
      0.7      130,321,291        637     204,586.0     200,991.0     188,735      216,319       6,629.0  CUDA_KERNEL  triton_red_fused_convolution_backward_1                                                             
      0.6      128,653,338        503     255,772.0     240,223.0     231,519      291,199      21,780.9  CUDA_KERNEL  triton_poi_fused_leaky_relu_backward_pixel_unshuffle_16                                             
      0.6      123,201,954         75   1,642,692.7   1,559,994.0   1,540,506    1,821,657     115,904.6  CUDA_KERNEL  triton_poi_fused_leaky_relu_backward_3                                                              
      0.5       92,817,222     13,457       6,897.3       5,821.0         720    1,371,217      12,870.7  CUDA_API     cuLaunchKernel                                                                                      
      0.5       92,789,994          1  92,789,994.0  92,789,994.0  92,789,994   92,789,994           0.0  CUDA_API     cudaProfilerStop                                                                                    
      0.4       86,750,914        210     413,099.6     391,231.0     387,102      458,846      29,641.5  CUDA_KERNEL  triton_poi_fused_leaky_relu_backward_55                                                             
      0.4       81,898,343     25,661       3,191.5       2,640.0       1,140    1,420,569      13,960.7  CUDA_API     cudaEventRecordWithFlags_v11010                                                                     
      0.4       81,510,335        531     153,503.5     153,599.0     148,159      155,487         796.1  CUDA_KERNEL  triton_poi_fused_leaky_relu_backward_54                                                             
      0.4       81,312,169        391     207,959.5     197,215.0     188,480      232,095      15,024.8  CUDA_KERNEL  triton_poi_fused_leaky_relu_backward_12                                                             
      0.3       55,723,421     25,650       2,172.5       1,950.0         450    1,014,010       6,620.3  CUDA_API     cudaEventQuery                                                                                      
      0.3       55,441,624        285     194,532.0      69,073.0      56,793   32,497,928   1,921,812.2  CUDA_API     cuModuleLoad                                                                                        
      0.2       47,913,232        105     456,316.5     310,785.0       4,560    1,699,073     357,401.6  CUDA_API     cudaMalloc                                                                                          
      0.2       46,626,947        533      87,480.2      87,584.0      81,055       89,376         864.5  CUDA_KERNEL  triton_poi_fused_convolution_leaky_relu_leaky_relu_backward_12                                      
      0.2       46,297,414        531      87,189.1      87,264.0      80,288       88,735         816.3  CUDA_KERNEL  triton_poi_fused_leaky_relu_leaky_relu_backward_40                                                  
      0.2       36,714,367     25,681       1,429.6       1,290.0         240       36,922       1,287.8  CUDA_API     cudaEventCreateWithFlags                                                                            
      0.1       27,291,608        440      62,026.4      63,855.5      23,072       67,168       7,399.4  CUDA_KERNEL  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.1       18,410,791         26     708,107.3      40,612.0      19,801    7,740,768   1,575,781.9  CUDA_API     cuLibraryUnload                                                                                     
      0.1       16,991,554         52     326,760.7      10,480.0       2,240    2,027,960     506,065.2  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1       14,728,150          4   3,682,037.5   4,572,413.5     900,264    4,683,059   1,856,180.0  CUDA_API     cuLibraryLoadData                                                                                   
      0.1       14,690,088          8   1,836,261.0     585,613.5     156,576    9,302,781   3,084,698.8  CUDA_KERNEL  sm90_xmma_wgrad_indexed_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x64x32_warpgroupsi…
      0.1       14,015,846          6   2,335,974.3   2,419,343.5   1,906,043    2,585,417     287,025.1  CUDA_API     cudaGetDeviceProperties_v2_v12000                                                                   
      0.1       13,894,537     25,991         534.6         450.0         249       29,231         737.4  CUDA_API     cudaStreamIsCapturing_v10000                                                                        
      0.1       11,056,090     25,661         430.9         331.0         300    1,217,739       7,642.1  CUDA_API     cudaEventDestroy                                                                                    
      0.0        9,468,962        751      12,608.5      12,480.0       5,824       14,752         944.7  CUDA_KERNEL  triton_red_fused_convolution_backward_23                                                            
      0.0        8,209,939         16     513,121.2     439,871.5       1,670    1,781,367     457,252.3  CUDA_API     cudaFree                                                                                            
