
NOTICE: Existing SQLite export found: profiles/gan_profile.sqlite
        It is assumed file was previously exported from: profiles/gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_gpu_sum.py]... 

 ** CUDA Summary (API/Kernels/MemOps) (cuda_api_gpu_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)    Category                                                 Operation                                              
 --------  ---------------  ---------  ------------  ------------  ----------  -----------  ------------  -----------  ----------------------------------------------------------------------------------------------------
     15.3    1,673,643,517     96,982      17,257.3      17,280.0      15,040       19,264         581.7  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
     14.5    1,587,717,410      4,146     382,951.6      11,771.0       3,269   88,041,994   4,741,306.7  CUDA_API     cudaMemcpyAsync                                                                                     
     13.8    1,518,117,896        218   6,963,843.6      17,104.0         736   88,039,837  19,563,565.8  MEMORY_OPER  [CUDA memcpy Host-to-Device]                                                                        
     12.5    1,369,745,731      2,116     647,327.9       9,120.0       6,060   41,575,163   3,223,022.3  CUDA_API     cudaDeviceSynchronize                                                                               
      5.7      624,172,268     98,297       6,349.9       5,271.0         620   12,759,072      87,924.7  CUDA_API     cudaLaunchKernel                                                                                    
      4.9      538,009,896        156   3,448,781.4       8,225.0       1,891   60,267,725  13,916,151.4  CUDA_API     cudaStreamSynchronize                                                                               
      3.1      342,464,133     49,870       6,867.1       6,350.0         620      201,060       3,815.2  CUDA_API     cuLaunchKernel                                                                                      
      2.6      290,566,694     97,419       2,982.6       2,610.0       1,310    7,096,767      26,155.1  CUDA_API     cudaEventRecordWithFlags_v11010                                                                     
      2.0      215,303,292      3,880      55,490.5      10,784.0       1,504      799,293     102,418.3  MEMORY_OPER  [CUDA memcpy Device-to-Device]                                                                      
      1.9      207,650,470     97,408       2,131.8       2,000.0         390      270,183       1,826.2  CUDA_API     cudaEventQuery                                                                                      
      1.7      183,590,780         89   2,062,817.8     249,382.0      11,551  150,656,616  15,931,884.7  CUDA_API     cudaMalloc                                                                                          
      1.7      181,877,880         97   1,875,029.7   1,773,882.0   1,765,306    2,064,633     136,882.1  CUDA_KERNEL  triton_poi_fused__to_copy_cat_87                                                                    
      1.4      157,066,075        598     262,652.3     262,751.0     251,264      266,015       1,559.8  CUDA_KERNEL  triton_red_fused_convolution_backward_5                                                             
      1.4      156,877,664        597     262,776.7     263,007.0     250,304      266,175       1,547.4  CUDA_KERNEL  triton_red_fused_convolution_backward_10                                                            
      1.4      151,298,325     97,421       1,553.0       1,350.0         840    1,053,633       4,063.5  CUDA_API     cudaEventCreateWithFlags                                                                            
      1.2      135,310,609        324     417,625.3     392,751.0     385,919      481,150      35,594.6  CUDA_KERNEL  triton_poi_fused__to_copy_convolution_leaky_relu_leaky_relu_backward_88                             
      1.2      134,356,578        344     390,571.4     364,015.0     363,263      438,559      35,765.6  CUDA_KERNEL  triton_poi_fused_cat_84                                                                             
      1.1      117,214,220        531     220,742.4     217,440.0     214,047      228,639       4,922.9  CUDA_KERNEL  triton_poi_fused_pixel_unshuffle_0                                                                  
      0.9      100,540,919        121     830,916.7     780,478.0     767,998      954,621      71,120.1  CUDA_KERNEL  triton_poi_fused_leaky_relu_backward_3                                                              
      0.9       98,442,236        637     154,540.4     147,808.0     129,439      188,607      17,172.5  CUDA_KERNEL  triton_red_fused_convolution_backward_85                                                            
      0.9       95,836,408        664     144,331.9      66,973.0      56,583   15,955,403     800,994.6  CUDA_API     cuModuleLoad                                                                                        
      0.8       88,627,598        637     139,132.8     138,751.0     127,583      150,144       2,411.6  CUDA_KERNEL  triton_red_fused_convolution_backward_14                                                            
      0.8       88,554,520        637     139,018.1     138,752.0     126,687      143,999       2,217.0  CUDA_KERNEL  triton_red_fused_convolution_backward_91                                                            
